Specjalna odzie¿ robocza;Jednostki do przechowywania taœm magnetycznych;Czêœci i akcesoria do pojazdów i wózków inwalidzkich;W³ókiennicze przewody do pomp
M¹ka i m¹czka warzywna;Maszyny adresuj¹ce;Urz¹dzenia stomatologiczne;Urz¹dzenia lotniskowe;Maszyny do zagêszczania gruntu
Mieszanki do przygotowania wypieków piekarskich;Maszyny do znaczków pocztowych;Urz¹dzenia do analizy immunologicznej;System do prze³adunku baga¿u;Maszyny do k³adzenia okablowania
Mieszanki do wyrobu ciasta;Maszyny do otwierania poczty;Lasery medyczne inne ni¿ stosowane w chirurgii;Urz¹dzenia do prze³adunku baga¿u;Urz¹dzenia budowlane
Mieszanki do pieczenia;Maszyny do pieczêtowania poczty;Instrumenty i urz¹dzenia stomatologiczne i specjalistyczne;Urz¹dzenia kontroli ruchu lotniczego;Zawiesia do mostów
Produkty piekarskie;Maszyny do kasowania znaczków;Stomatologiczne instrumenty rêczne;Urz¹dzenia wie¿y kontrolnych;Urz¹dzenia do demonta¿u
Produkty z ziaren zbó¿;Maszyny do przyklejania znaczków;Przyrz¹dy chirurgii stomatologicznej;Kontrola ruchu lotniczego;Sprzêt do nawadniania
Produkty przemia³u owsa;Maszyny sortuj¹ce;Szczypce, szczoteczki/pêdzelki, rozwieracze i polerki dentystyczne;Symulacja kontroli ruchu lotniczego;Urz¹dzenia upustowe
Produkty zbo¿owe;Maszyny do sortowania poczty;Szczypce dentystyczne;Systemy kontroli ruchu lotniczego;Urz¹dzenia do basenów k¹pielowych
Gotowe zbo¿a œniadaniowe;Maszyny do liczenia banknotów;Robocze szczoteczki/pêdzelki dentystyczne;Szkolenie dotycz¹ce kontroli ruchu lotniczego;Wyposa¿enie parków i placów zabaw
P³atki kukurydziane;Urz¹dzenia sortuj¹ce;Rozwieracze dentystyczne;System l¹dowania wed³ug przyrz¹dów (ILS);Urz¹dzenia do konserwacji terenu
Muesli lub produkty równowa¿ne;Sprzêt wysy³kowy;Polerki dentystyczne;Dopplerowska dookólna antena VHF (DVOR);Sprzêt z gotowych elementów
Pszenica dmuchana;Urz¹dzenia do wysy³ania poczty luzem;Dentystyczne urz¹dzenia do kriochirurgii, g³êbokoœciomierze, dŸwignie i ekskawatory;Radiodalmierz (DME);Instalacje hydrauliczne
P³atki owsiane;Maszyny licz¹ce i rachunkowe;Dentystyczne zestawy do kriochirurgii;Radionamiernik i radiolatarnia bezkierunkowa;Urz¹dzenia hydrauliczne
Ry¿ przetworzony;Maszyny licz¹ce;G³êbokoœciomierze dentystyczne;Radionamiernik (RDF);Zestawy sprzêtu
Ry¿ d³ugoziarnisty;Kalkulatory kieszonkowe;DŸwignie dentystyczne;Radiolatarnia bezkierunkowa (NDB);Maszyny do obróbki minera³ów i formierskie
Ry¿ mielony;Kalkulatory biurkowe;Ekskawatory dentystyczne;System komunikacji lotniskowej (COM);Maszyny do obróbki minera³ów
Ry¿ ³amany;Kalkulatory drukuj¹ce;Ochraniacze dentystyczne na palce i kleszcze dentystyczne;System nadzoru lotniskowego i system oœwietlenia;Maszyny sortuj¹ce i przesiewaj¹ce
Otrêby;Sumatory;Ochraniacze dentystyczne na palce;System nadzoru lotniskowego (SUR);Mieszalniki
Skrobia i produkty skrobiowe;Maszyny ksiêguj¹ce i kasy rejestruj¹ce;Kleszcze dentystyczne;System oœwietlenia lotniska (PAPI);Mieszalniki betonu lub zaprawy
Olej kukurydziany;Maszyny ksiêguj¹ce;Lusterka i rozwiertaki dentystyczne;Pomosty i schody dla pasa¿erów do wsiadania do samolotu;Mieszalniki cementu
Glukoza i produkty z glukozy, fruktoza i produkty z fruktozy;Rejestratory œrodków pieniê¿nych;Lusterka dentystyczne;Pomosty dla pasa¿erów do wsiadania do samolotu;Szlifierki
Glukoza i produkty z glukozy;Maszyny w rodzaju maszyn licz¹cych;Rozwiertaki dentystyczne;Schody dla pasa¿erów do wsiadania do samolotu;Wêglowe m³yny py³owe
Glukoza;Maszyny do frankowania;Narzêdzia do wierzcho³ków korzeni, skalery i skale dentystyczne;Urz¹dzenia monitorowania ruchu;Formy odlewnicze
Syrop glukozowy;Maszyny do wydawania biletów;Narzêdzia dentystyczne do wierzcho³ków korzeni;Urz¹dzenia bezpoœredniego monitorowania;Maszyny do form odlewniczych
Fruktoza i produkty z fruktozy;Maszyny licz¹ce do pojazdów;Skalery dentystyczne;Uk³ady pomiarowe natê¿enia ruchu;Maszyny do k³adzenia szyn
Fruktoza;Automaty do pobierania op³at;Skale dentystyczne;Bilety przewozowe;Czêœci maszyn górniczych, kopalniczych oraz budowlanych
Przetwory z fruktozy;Czêœci i akcesoria maszyn licz¹cych;No¿yczki i no¿e dentystyczne;Sprzêt kontrolny, bezpieczeñstwa, sygnalizacyjny i oœwietleniowy;Czêœci maszyn do strugania
Roztwory z fruktozy;Rolki do kalkulatorów;No¿yczki dentystyczne;Reflektory iluminacyjne;Czêœci maszyn odwiertowych
Syrop fruktozowy;Maszyny do pisania;No¿e dentystyczne;Znaki i znaki podœwietlone;Nak³adki mostowe
Skrobie;Elektroniczne maszyny do pisania;Dentystyczne ³opatki, pêsety i narzêdzia do formowania wosku;Podœwietlane znaki drogowe;Koñcówki wierte³ przemys³owych
Tapioka;Czêœci i akcesoria do maszyn do pisania;£opatki dentystyczne;Znaki drogowe;No¿yce wiertnicze
Semolina;Karty magnetyczne;Pêsety dentystyczne;Znaki uliczne;Zdzieraki ¿elazne
Kruszonka sproszkowana;Karty kredytowe;Narzêdzia dentystyczne do formowania wosku;Œwiat³a drogowe;Sto³y obrotowe
Pasza dla zwierz¹t;"Karty ""inteligentne""";Stomatologiczne ig³y do szycia;Oœwietlenie tuneli;Urz¹dzenia do podpierania warstwy wierzchniej
Pasza dla zwierz¹t hodowlanych i innych;Karty p³atnicze;Stomatologiczne przyrz¹dy jednorazowego u¿ytku;Reflektory do oœwietlania i prowadzenia statków;Sprzêt do mocowania
Karma dla ryb;Karty na zakup paliwa;Sondy stomatologiczne;Reflektory do oœwietlania lustra wody;Czêœci wind górniczych
Susz paszowy;Maszyny do metkowania;Stomatologiczne przyrz¹dy do ekstrakcji;Reflektory do oœwietlania i prowadzenia statków powietrznych;Zawiesia szybowe
Karma dla zwierz¹t domowych;Maszyny do datowania i numerowania;Wiert³a stomatologiczne;Drogowe urz¹dzenia kontrolne, bezpieczeñstwa lub sygnalizacyjne;Urz¹dzenia zawiesi kablowych
Ró¿ne produkty spo¿ywcze;Prasy do dokumentów identyfikacyjnych (to¿samoœci);Przyrz¹dy do wype³nieñ stomatologicznych;Sygnalizatory drogowe;Napinacze
Pieczywo, œwie¿e wyroby piekarskie i ciastkarskie;Maszyny nak³adaj¹ce etykiety;Implanty stomatologiczne;Urz¹dzenia kontrolne, bezpieczeñstwa lub sygnalizacyjne œródl¹dowych dróg wodnych;G³owice odwiertu
Pieczywo;Maszyny produkuj¹ce etykiety;Akcesoria do odcisków stomatologicznych;Parkingowe urz¹dzenia kontrolne, bezpieczeñstwa lub sygnalizacyjne;Sprzêt do mocowania pionowej rury produkcyjnej
Chleb;Sprzêt literniczy;Akcesoria endodontyczne;Lotniskowe urz¹dzenia kontrolne, bezpieczeñstwa lub sygnalizacyjne;Uk³ad do kontroli g³owicy odwiertu
Rogaliki;Wyt³aczarka do taœm;Urz¹dzenia ortodontyczne;Rejestratory lotu;Sprzêt do g³owicy odwiertu
Pieczywo francuskie;Automatyczne systemy etykietowania;Przyrz¹dy obrotowe i œcierne;Oœwietlenie lotnisk;Wyci¹garki
Bu³eczki;Pó³automatyczne systemy etykietowania;Akcesoria profilaktyki stomatologicznej;Oœwietlenie pasów startowych;Czêœci maszyn do ciêcia wêgla lub ska³
Pieczywo gotowe;Maszyny do wydawania eytykiet;Aparaty korekcyjne;Portowe instalacje kontrolne, bezpieczeñstwa lub sygnalizacyjne;Czêœci maszyn do ciêcia wêgla
Kanapki;Maszyny do potwierdzania i wypisywania czeków;Protezy zêbowe;Generatory sygna³ów, rozdzielacze sygna³u antenowego i maszyny galwanotechniczne;Czêœci maszyn do ciêcia ska³
Kanapki gotowe;Maszyny do potwierdzania czeków;Materia³y medyczne;Generatory sygna³owe;Czêœci maszyn do dr¹¿enia tuneli
Wyroby ciastkarskie i ciasta;Maszyny do wypisywania czeków;Jednorazowe, niechemiczne artyku³y medyczne i hematologiczne;Rozdzielacze sygna³u antenowego;Czêœci maszyn do obróbki minera³ów
Wyroby ciastkarskie;Ró¿ny sprzêt i artyku³y biurowe;Opatrunki, zaciski, szwy, podwi¹zki;Maszyny galwanotechniczne;Czêœci maszyn do g³êbienia szybów
Placki;Sprzêt biurowy, z wyj¹tkiem mebli;Opatrunki;Modele w skali;Czêœci koparek
Placki pikantne;Urz¹dzenia do przechowywania akt;Opatrunki przylepne;Modele samolotów w skali;Czêœci maszyn metalurgicznych oraz podobne czêœci
Placki s³odkie;Wizytowniki ko³owe;Plastry;Modele statków w skali;Maszyny do walcowania metalu
Ciasta;Stojaki na czasopisma;Banda¿e;Sprzêt bezpieczeñstwa, gaœniczy, policyjny i obronny;Czêœci maszyn do walcowania
Wyroby œniadaniowe;Podk³adki z klipsem;Gaza medyczna;Urz¹dzenia awaryjne i zabezpieczaj¹ce;Maszyny odlewnicze
"Sucharki i herbatniki; wyroby piekarskie i ciastkarskie o przed³u¿onej trwa³oœci";Akcesoria do identyfikacji osób;Wata medyczna;Sprzêt gaœniczy, ratowniczy i bezpieczeñstwa;Czêœci maszyn odlewniczych
Pieczywo tostowe i wyroby piekarskie;Rzutniki do przezroczy;Zestawy opatrunkowe;Sprzêt gaœniczy;Urz¹dzenia warsztatowe
Pieczywo tostowe;Niszczarki;We³na bawe³niana;Respiratory stra¿ackie;Urz¹dzenia do obróbki drewna
Chleb tostowy;Wyroby biurowe;Waciki;Tworzywa gaœnicze;Szlifierki do drewna
Chleb chrupki;Gumki;Kompresy;Gaœnice;Pi³y
Sucharki;Produkty kreœlarskie;Zaciski, szwy, podwi¹zki naczyniowe;Naboje piankowe;Sprzêt do wyrobu butów
Herbatniki s³odkie;Poduszki z tuszem;Szwy chirurgiczne;Gaœnice przenoœne;Narzêdzia rêczne z napêdem mechanicznym
Cukier i produkty pokrewne;G³owice barwi¹ce do maszyn drukuj¹cych;Klamry chirurgiczne;Sprzêt do ucieczki w razie po¿aru;Urz¹dzenia kowalskie
Cukier;Wk³ady drukuj¹ce;Pojemniki na skalpele;System t³umienia ognia;"Konstrukcje i materia³y budowlane; wyroby pomocnicze dla budownictwa (z wyj¹tkiem aparatury elektrycznej)"
Cukier bia³y;D³ugopisy kulkowe;Podk³adki pod skalpele;Rêczne narzêdzia do t³umienia ognia;Materia³y konstrukcyjne i elementy podobne
Cukier klonowy i syrop klonowy;Pióra wieczne;Tworzywa do szwów chirurgicznych;Piany do t³umienia ognia lub podobne kompozycje;Materia³y konstrukcyjne
Melasy;D³ugopisy z koñcówk¹ z w³ókna;Podwi¹zki naczyniowe;Sprzêt ratunkowy i awaryjny;Materia³y budowlane
Syropy cukrowe;D³ugopisy z koñcówk¹ z filcu;Hemostatyki wch³anialne;Manekiny do æwiczeñ na wypadek sytuacji awaryjnych;Ceg³y
Miód;Pisaki;Ig³y do szycia;Prysznic bezpieczeñstwa;Cement
Odpady z produkcji cukru;Pióra techniczne;Cewniki;Urz¹dzenie do p³ukania oczu;Cement wiertniczy
Produkty cukrownicze;Obsadki do piór;Pojemniki do cewników;Sprzêt bezpieczeñstwa;Ceramika
Desery;O³ówki;Kaniula;Budowlany sprzêt bezpieczeñstwa;Farby i ok³adziny œcienne
Spody do ciasta;O³ówki automatyczne;Rozszerzad³a;System ochrony reaktora j¹drowego;Izolatory i osprzêt izoluj¹cy
"Kakao; czekolada i wyroby cukiernicze";Wk³ady grafitowe do o³ówków;Akcesoria cewnikowe;Sprzêt ochrony j¹drowej, biologicznej, chemicznej i radiologicznej;Izolatory
Kakao;Temperówki do o³ówków;Urz¹dzenia do nak³uwania ¿y³, pobierania krwi;Urz¹dzenia bezpieczeñstwa j¹drowego;Izolatory elektryczne
Pasta kakaowa;Obsadki do o³ówków;Strzykawki;Instalacje bezpieczeñstwa;Tworzywa izolacyjne
Mas³o kakaowe, t³uszcz lub olej;Datowniki;Ig³y medyczne;Odzie¿ ochronna i zabezpieczaj¹ca;Elektryczny osprzêt izoluj¹cy
Nies³odzony proszek kakaowy;Pieczêcie;Ig³y do znieczulania;Odzie¿ ochrony biologicznej i chemicznej;Szk³o izoluj¹ce
S³odzony proszek kakaowy;Numeratory;Ig³y do têtnic;Odzie¿ do ochrony j¹drowej i radiologicznej;Bloki
Czekolada i wyroby cukiernicze;Piecz¹tki z napisami;Ig³y do biopsji;Kamizelki bezpieczeñstwa;Kafelki
Czekolada;Wymienne poduszki do piecz¹tek;Ig³y do dializy;Kamizelki odblaskowe;Zaprawa (murarska)
Produkty z czekolady;Uchwyty biurowe do piecz¹tek;Ig³y do przetok;P³aszcze lub poncza ochronne;Kafle ceramiczne
Czekolada pitna;Korektory;Ig³y do procedur radiologicznych;Skarpety ochronne i ochronne wyroby poñczosznicze;Ró¿ne konstrukcje budowlane
Batony czekoladowe;Tablice og³oszeñ;Ig³y z dodatkowym otworkiem;Ochronne koszule lub spodnie;Wiaty
Wyroby cukiernicze;Taœma miernicza;Ig³y do znieczuleñ miejscowych;Ochronne opaski na nadgarstki;Czêœci wiat
S³odycze gotowane;Taœmy barwi¹ce;Ig³y do diagnostyki prenatalnej;Suknie ochronne;Odcinki profilów
Nugat;Taœmy barwi¹ce do maszyn do pisania;Przecinaki i no¿e chirurgiczne, rêkawice chirurgiczne;Systemy i urz¹dzenia nadzoru i bezpieczeñstwa;Wyk³adziny pod³ogowe
Owoce, orzechy lub skórki owocowe zakonserwowane w cukrze;Taœmy do drukarek;Przecinaki i no¿e chirurgiczne;Urz¹dzenia ochronne;P³yty pod³ogowe
Produkty z ciasta makaronowego;Taœmy i bêbny do kalkulatorów;Skalpele i no¿e chirurgiczne;Brzêczyki;Pod³ogi z tworzyw sztucznych
Produkty m¹czne;Taœmy do faksów;Rêkawice chirurgiczne;Wykrywacze fa³szywych pieniêdzy;Linoleum
Makaron niegotowany;Taœmy do kas rejestruj¹cych;Produkty hematologiczne;Osprzêt bezpieczeñstwa;Parkiet
Ciasto makaronowe gotowane i kuskus;Wyroby reprograficzne;Produkty krwiopochodne;Torby bezpieczeñstwa;Przegrody
Ciasto makaronowe gotowane;Ok³adki przezroczyste;Wyci¹gi z osocza;Uszczelnienia;Œcianki dzia³owe
Ciasto makaronowe nadziewane;Bloki kreœlarskie;Koagulanty krwi;Zawieszki;Dach
Lasagne;Papeteria;Albumina;Systemy alarmowe;Konstrukcje dachowe
Kuskus;Etykiety samoprzylepne;Heparyna;Wypuk³e lustra bezpieczeñstwa;Wsporniki dachowe
Puszkowane ciasto makaronowe;Przybory do korygowania;Organy ludzkie;Detektory radarowe;Szyby dachowe
Kawa, herbata i podobne produkty;Folia lub taœma korekcyjna;Krew ludzka;Urz¹dzenia identyfikacji na placu;Odachowanie
Kawa;P³yn korekcyjny;Krew zwierzêca;System kart magnetycznych;Gonty
Kawa palona;Korektory w piórze;Zbiorniki i torby do gromadzenia p³ynów ustrojowych, dreny i zestawy;Urz¹dzenia kontroli czasu pracy;Izolacja dŸwiêkoszczelna
Kawa bezkofeinowa;Wk³ady do korektorów w piórze;Torby do gromadzenia p³ynów ustrojowych;System kontroli czasu;Belki
Substytuty kawy;Gumki elektryczne;Pojemniki na krew;Znaczki identyfikacyjne;Drogowe materia³y konstrukcyjne
Herbata;Organizatory i akcesoria;Pojemniki na osocze krwi;Systemy do identyfikacji wideo;Materia³y chodnikowe
Herbata zielona;Organizatory do szuflad w biurkach;Pojemniki na mocz;Wykrywacze metalu;P³yty chodnikowe
Herbata czarna;Korytka i organizatory na biurka;Zestawy medyczne;System wywiadowczy;Kamienie chodnikowe
Produkty z herbaty lub herbaty paragwajskiej (maté);Organizatory wisz¹ce;Zestawy u¿ywane w przypadku nietrzymania moczu;Czujniki;Kamieñ drogowy
Herbata w torebkach;Podpórki do ksi¹¿ek;Zestawy zabezpieczaj¹ce przed AIDS;Czujniki biometryczne;P³ytki
Napary zio³owe;Stojak na materia³y reklamowe;Zestawy pierwszej pomocy;System kontroli czasu lub rejestrator czasu pracy;Tworzywa powlekane
Przyprawy i przyprawy korzenne;Podpórki na terminarze i kalendarze;Zestawy do podawania leków;Kamery bezpieczeñstwa;Powlekane tworzywa drogowe
"Ocet; sosy; mieszanki przypraw; m¹ka i m¹czka z gorczycy; gotowa musztarda";Pude³ko do przechowywania dokumentów;Zestawy diagnostyczne;Urz¹dzenia do skanowania kodów kreskowych;Powlekany kamieñ drogowy
Ocet i substytuty octu;Tabliczki na wiadomoœci;Zestawy dawkuj¹ce;Sprzêt policyjny;Ok³adziny
Ocet lub produkty równowa¿ne;Podpórki na dokumenty;Filtry osocza krwi;Cele strzelnicze;Ozdoby szklane
Sosy, mieszanki przypraw i mieszanki przypraw korzennych;Przybory kreœlarskie;Dreny;Sprzêt do t³umienia zamieszek;Bitum i asfalt
Sos sojowy;Krzywiki;Sondy;Armatki wodne;Bitum
Ketchup;Punkty, taœmy i folie kreœlarskie;Akcesoria do drena¿u;Rêkawy;Asfalt
Musztarda;Punkty lub taœmy kreœlarskie;Wyroby ortopedyczne;Syreny;Materia³y do naprawiania nawierzchni drogowych
Sosy;Folie kreœlarskie;Kule;Œrodki odstraszaj¹ce psy;Materia³y do uk³adania nawierzchni drogowych
Mieszanki przypraw;Komplety, zestawy i papier kreœlarski;Pomoce do chodzenia;Znaki policyjne;Wykoñczenia nawierzchni
Majonez;Komplety lub zestawy kreœlarskie;Ko³nierze chirurgiczne;Panele informacyjne;Materia³y do konserwacji nawierzchni drogowych
Pasty kanapkowe;Papiery kreœlarskie;Obuwie ortopedyczne;Panele komunikatów zmiennych;Materia³y do konserwacji nawierzchni w sezonie zimowym
Ostry sos z mango;Pokrycia sto³ów kreœlarskich;Sztuczne stawy;Urz¹dzenia steruj¹ce sygnalizacyjne do skrzy¿owañ;Beton
Zio³a i przyprawy korzenne;Pomoce liternicze;£upki;Broñ, amunicja i podobne elementy;Gotowa mieszanka betonu
Pieprz;K¹tomierze;Wyroby u¿ywane w przypadku z³amañ, œruby i p³yty;Broñ ró¿na;Produkty betonowe
Przyprawy korzenne;Szablony;Wyroby stomatologiczne;Miecze, kordy, bagnety i lance;S³upy betonowe
Zio³a;Przyk³adnice i ekierki;Tworzywa do wype³nieñ stomatologicznych;Miecze;Rury i osprzêt betonowy
Sól;Przyk³adnice;Korony;Kordy;Sztaby betonowe
Imbir;Ekierki;Korony porcelanowe;Bagnety;Osprzêt budowlany
Specjalne produkty od¿ywcze;Pokrycia ochronne na powierzchnie robocze;Korony akrylowe;Lance;Kana³y
Przetwory spo¿ywcze homogenizowane;Tablice;Podk³ady cementowe;Pistolety gazowe;Tworzywa hydrauliczne i grzewcze
Produkty dietetyczne;Tablice do planowania lub akcesoria;Hemostatyki stomatologiczne;Broñ palna;Tworzywa hydrauliczne
Produkty dla niemowl¹t;Tablice do elektronicznego kopiowania lub akcesoria;Produkty higieny stomatologicznej;Broñ palna lekka;Tworzywa grzewcze
Ró¿ne produkty spo¿ywcze i produkty suszone;Tablice do liter lub akcesoria;Lancety;Pistolety;Rolety zwijane
Zupy i buliony;Tablice do wycierania na sucho lub akcesoria;Urz¹dzenia do radioterapii, mechanoterapii, elektroterapii i fizykoterapii;Karabiny;Œwietliki
Zupy miêsne;Tablice do pisania kred¹ lub przybory;Urz¹dzenia i wyroby do radioterapii;Karabiny maszynowe;Uk³ady natryskowe
Zupy rybne;Tablice dla biuletynów lub przybory;Urz¹dzenia do leczenia promieniowaniem gamma;Artyleria;Wyci¹gi
Zupy miksowane;Zestawy do czyszczenia tablic lub przybory;Urz¹dzenia do terapii rentgenowskiej;Artyleria przeciwlotnicza;Rolety zewnêtrzne
Zupy;Szyny lub uchwyty do zawieszania;Spektrografy;Artyleria samobie¿na;Daszki
Mieszanki zup;Tablice do pisania i tablice magnetyczne;Wyroby do radioterapii;Artyleria holowana;Osprzêt wewnêtrzny do budynków
Buliony;Tablice do pisania;Inkubatory;MoŸdzierze;Karnisze do zas³on i ¿abki
Sopstoki;Akcesoria do tablic do pisania;Kleszcze do kruszenia kamieni;Haubice;Karnisze do zas³on
Mieszanki sopstoków;Sztalugi do tablic do pisania;Urz¹dzenia do mechanoterapii;Amunicja;Urz¹dzenia do ochrony przeciws³onecznej
Zupy warzywne;Sztalugi flipchart;Przyrz¹dy do fizykoterapii;Amunicja do broni palnej i amunicja bojowa;Studzienki kanalizacyjne
Wywary warzywne, ekstrakty, substancje peptydowe i zagêszczacze;Tablice magnetyczne;Przyrz¹dy do testów psychologicznych;Pociski;Komory œciekowe
Wywary warzywne;Œcieracze do tablic magnetycznych;Urz¹dzenia do terapii gazowej i oddechowej;£uski;Elementy przepustów
Ekstrakty warzywne;Systemy planowania;Maski do gazów medycznych;Granaty;Pokrywy wylotów
Zagêszczacze;Kalendarze do planowania spotkañ;Maski tlenowe;Miny l¹dowe;£uki rurowe
Produkty suszone;Ksi¹¿ki spotkañ lub wk³ady do nich;Zestawy tlenowe;Naboje;Produkty zwi¹zane z materia³ami budowlanymi
Mieszanki spo¿ywcze;Skrzynka na propozycje;Namioty tlenowe;Amunicja do morskich dzia³añ bojowych;Rurki kablowe
Mieszanki deserowe;Drobny sprzêt biurowy;Medyczna aparatura oddechowa;Torpedy;Kana³y elektryczne
Mieszanki wywarów miêsnych;Zszywki, gwoŸdziki z szerokim ³ebkiem, pinezki kreœlarskie;Komory hiperbaryczne;Miny morskie;Ramy
Przetworzone produkty spo¿ywcze;Klamry;Worki ambu;Amunicja do lotniczych dzia³añ bojowych;Palety
Dania wegetariañskie;GwoŸdzie z szerok¹ g³ówk¹;Urz¹dzenia do podawania tlenu;Bomby;S³upy
Posi³ki gotowe;Pinezki kreœlarskie;Urz¹dzenia do terapii tlenowej;Rakiety;Ruroci¹gi, instalacje rurowe, rury, ok³adziny rurowe, rury i podobne elementy
Posi³ki szkolne;Skoroszyty ko³owe i spinacze do papieru;Aparatura do terapii elektrycznej, elektromagnetycznej i mechanicznej;Czêœci broni palnej i amunicja;Ruroci¹gi
Posi³ki szpitalne;Skoroszyty ko³owe;Urz¹dzenia elektromagnetyczne;Czêœci broni palnej lekkiej;Gazoci¹gi
Dania gotowe;Spinacze do papieru;Urz¹dzenia do elektroterapii;Osprzêt do przewodów rurowych z br¹zu armatniego;Gazownicze sieci przesy³owe
Przek¹ski;Pojemnik na spinacze do papieru;Stymulatory;Czêœci wyrzutni rakiet;Odbiorniki wodne
Produkty znajduj¹ce siê w maszynach do sprzeda¿y produktów ¿ywnoœciowych;Otwieracze do listów, zszywacze i dziurkacze;Urz¹dzenia medyczne emituj¹ce promieniowanie ultrafioletowe;Czêœci moŸdzierzy;Ruroci¹gi podwodne
Nadzienia kanapkowe;Otwieracze do listów;Sprzêt do terapii mechanicznej;Pojazdy wojskowe i ich czêœci;Ruroci¹gi podmorskie
Przysmaki;Zszywacze;Przyrz¹dy medyczne na podczerwieñ;Opancerzone pojazdy wojskowe;Ruroci¹gi wysokociœnieniowe
Szybkie przek¹ski;Usuwacz zszywek;System chemii klinicznej;Czo³gi;Ruroci¹gi niskociœnieniowe
Hamburgery;Dziurkacze;Techniki operacyjne;Czo³gi podstawowe;Ciê¿arki do przetykania przewodów rurowych
Produkty g³êboko mro¿one;G¹bka do zwil¿ania znaczków;Urz¹dzenia elektrochirurgiczne;Czo³gi lekkie;Wyrzutnie ciê¿arków do przetykania przewodów rurowych
Produkty puszkowane i polowe racje ¿ywnoœciowe;Lak;Urz¹dzenia i przyrz¹dy u¿ywane na salach operacyjnych;Opancerzone wozy bojowe;Kolektory ciê¿arków do przetykania przewodów rurowych
Polowe racje ¿ywnoœciowe;Akcesoria do laku;Urz¹dzenia u¿ywane na salach operacyjnych;Wozy bojowe piechoty;£apacze ciê¿arków do przetykania przewodów rurowych
Produkty puszkowane;Papier i tektura gotowe;Przyrz¹dy u¿ywane na salach operacyjnych;Transportery opancerzone;Instalacje rurowe
Paczki ¿ywnoœciowe;Papier i tektura z³o¿one;Namioty do u¿ytku medycznego;Opancerzone nosiciele broni;Wyroby do przewodów rurowych
Dro¿d¿e;Papier do pisania;Urz¹dzenia do koelioskopii;Pojazdy rozpoznawcze i patrolowe;Ruroci¹gi przesy³owe
Proszek do pieczenia;Poduszka flipchart;Kolposkopy;Pojazdy dowodzenia i ³¹cznoœci;Wyloty ruroci¹gów
Napoje, tytoñ i produkty podobne;Papier do drukowania;Przyrz¹dy do kriochirurgii i krioterapii;Czêœci pojazdów wojskowych;W³azy z kamionki
Destylowane napoje alkoholowe;Papier samokopiuj¹cy lub inny papier powielaj¹cy;Przyrz¹dy dermatologiczne;Mechaniczne czêœci zapasowe do pojazdów wojskowych;Ruroci¹gi wody pitnej
Napoje spirytusowe;Papier termograficzny;Lampy chirurgiczne;Silniki i czêœci silników do pojazdów wojskowych;Rury i osprzêt
Wódki;Papier fotokopiuj¹cy i kserograficzny;Przyrz¹dy do endoskopii, endochirurgii;Elektroniczne i elektryczne czêœci zapasowe do pojazdów wojskowych;Rury
Likiery;Papier fotokopiuj¹cy;Endoskopy;Okrêty wojenne i ich czêœci;Rury odp³ywowe
Wina;Papier kserograficzny;Przyrz¹dy chirurgiczne;Okrêty wojenne;Rury upustowe
Wina bez dodatku substancji smakowych;Karta do drukowania;Lasery chirurgiczne;Nawodna jednostka bojowa;Uk³ad kanalizacyjny
Wino musuj¹ce;Maszyny loteryjne;Kosze chirurgiczne;Lotniskowce;Rury grzewcze odleg³oœciowe
Wina sto³owe;Maszyny ci¹gn¹ce;Tace chirurgiczne;Niszczyciele i fregaty;Grzewcze przewody rurowe
Porto;Papeteria i inne wyroby;Pojemniki chirurgiczne;Korwety i ³odzie patrolowe;Œciekowe przewody rurowe
Madera;"Kalka; papier samokopiuj¹cy; zestawy powielaj¹ce oraz papier bez kalki";Systemy chirurgiczne do lokalizacji i œledzenia;Pojazdy amfibie i statki;Przewody rurowe parowe i wodne
Moszcz winogronowy;Kalka maszynowa;Aparatura do anestezji i resuscytacji;Okrêty podwodne;Przewody rurowe niskiego ciœnienia
Sherry;Papier samokopiuj¹cy;Przyrz¹dy do anestezji i resuscytacji;Strategiczne okrêty podwodne o napêdzie atomowym;Przesy³owe przewody rurowe i akcesoria
Dro¿d¿owy osad winiarski;Kalka inna ni¿ maszynowa;Przyrz¹dy do anestezji;Bojowe okrêty podwodne o napêdzie atomowym;Osprzêt do przewodów rurowych
Wino z jab³ek i pozosta³e wina owocowe;Zestawy papieru z kalk¹;Maski do anestezji;Bojowe okrêty podwodne o napêdzie dieslowskim;Zaciski do przewodów rurowych
Wino z jab³ek;Koperty, karty pocztowe oraz czyste karty pocztowe;Przyrz¹dy do resuscytacji;Bezza³ogowe pojazdy podwodne;Z³¹cza do przewodów rurowych
Wina owocowe;Karty pocztowe;Maski do resuscytacji;Stawiacze min i okrêty pomocnicze;£¹czniki do przewodów rurowych
Niedestylowane przefermentowane napoje;Czyste karty pocztowe;Zestawy do znieczuleñ miejscowych;Poszukiwacze min/tra³owce;Z³¹cza izolowane
Wermut;Koperty;Urz¹dzenia do anestezji i resuscytacji;Pomocnicze okrêty badawcze;Ok³adziny i przewody rurowe
Piwo s³odowe;Zestaw listowy;Urz¹dzenia do anestezji;Pomocnicze okrêty wywiadowcze;Ok³adziny rurowe
Piwo;Papier wyt³aczany lub perforowany;Urz¹dzenia do resuscytacji;Pomocnicze okrêty szpitalne/transportowce/tankowce/statki ro-ro;Przewody rurowe
